Sno,Date,Time,State/UnionTerritory,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed,week_count
77,9/3/2020,6:00 PM,Maharashtra,2,0,0,0,2,1
92,10/3/2020,6:00 PM,Maharashtra,5,0,0,0,5,1
98,11/3/2020,6:00 PM,Maharashtra,2,0,0,0,2,1
121,12/3/2020,6:00 PM,Maharashtra,11,0,0,0,11,1
134,13/03/20,6:00 PM,Maharashtra,14,0,0,0,14,1
147,14/03/20,6:00 PM,Maharashtra,14,0,0,0,14,2
154,15/03/20,6:00 PM,Maharashtra,32,0,0,0,32,2
168,16/03/20,6:00 PM,Maharashtra,32,0,0,1,32,2
183,17/03/20,6:00 PM,Maharashtra,36,3,0,1,39,3
198,18/03/20,6:00 PM,Maharashtra,39,3,0,1,42,3
216,19/03/20,6:00 PM,Maharashtra,44,3,0,1,47,4
236,20/03/20,6:00 PM,Maharashtra,49,3,0,1,52,5
258,21/03/20,6:00 PM,Maharashtra,60,3,0,2,63,6
281,22/03/20,6:00 PM,Maharashtra,64,3,0,2,67,8
304,23/03/20,6:00 PM,Maharashtra,71,3,0,2,74,9
327,24/03/20,6:00 PM,Maharashtra,86,3,0,3,89,9
351,25/03/20,6:00 PM,Maharashtra,125,3,1,3,128,13
381,26/03/20,6:00 PM,Maharashtra,121,3,1,4,124,16
408,27/03/20,10:00 AM,Maharashtra,127,3,15,5,130,24
435,28/03/20,6:00 PM,Maharashtra,177,3,25,6,180,24
462,29/03/20,7:30 PM,Maharashtra,-,-,25,8,186,45
489,30/03/20,9:30 PM,Maharashtra,-,-,25,9,198,48
517,31/03/20,8:30 PM,Maharashtra,-,-,39,9,216,64
547,1/4/2020,7:30 PM,Maharashtra,-,-,39,13,302,72
576,2/4/2020,6:00 PM,Maharashtra,-,-,42,16,335,97
606,3/4/2020,6:00 PM,Maharashtra,-,-,42,24,335,110
637,4/4/2020,6:00 PM,Maharashtra,-,-,42,24,490,127
667,5/4/2020,6:00 PM,Maharashtra,-,-,42,45,490,149
697,6/4/2020,6:00 PM,Maharashtra,-,-,56,48,748,160
727,7/4/2020,6:00 PM,Maharashtra,-,-,56,64,868,178
758,8/4/2020,5:00 PM,Maharashtra,-,-,79,72,1018,187
789,9/4/2020,5:00 PM,Maharashtra,-,-,117,97,1135,194
820,10/4/2020,5:00 PM,Maharashtra,-,-,125,110,1364,201
851,11/4/2020,5:00 PM,Maharashtra,-,-,188,127,1574,211
882,12/4/2020,5:00 PM,Maharashtra,-,-,208,149,1761,223
913,13/04/20,5:00 PM,Maharashtra,-,-,217,160,1985,232
945,14/04/20,5:00 PM,Maharashtra,-,-,229,178,2337,251
978,15/04/20,5:00 PM,Maharashtra,-,-,259,187,2687,269
